ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
11,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Hiện tượng ""Showrooming"" tác động tiêu cực đến mô hình kinh doanh nào nhất?",Các nhà bán lẻ thuần túy trực tuyến.,Các nhà bán lẻ truyền thống (Brick-and-mortar).,Các nhà cung cấp dịch vụ đám mây.,Các công ty phát triển phần mềm.,B,Các nhà bán lẻ truyền thống (Brick-and-mortar).,"Showrooming là hành vi khách hàng đến cửa hàng vật lý để xem hàng nhưng sau đó mua online giá rẻ hơn, gây thiệt hại doanh thu cho cửa hàng truyền thống."
12,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Yếu tố nào giúp các công ty ""Sinh sau đẻ muộn"" trong TMĐT cạnh tranh với các đối thủ lớn?",Bắt chước y hệt đối thủ.,Tập trung vào thị trường ngách (Niche).,Tăng giá sản phẩm cao hơn.,Giảm chất lượng dịch vụ khách hàng.,B,Tập trung vào thị trường ngách (Niche).,"Các doanh nghiệp nhỏ có thể tồn tại bằng cách tập trung vào các thị trường ngách, cung cấp sản phẩm chuyên biệt hoặc dịch vụ cá nhân hóa mà các ông lớn khó đáp ứng."
13,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Mô hình ""Long Tail"" (Cái đuôi dài) trong sự phát triển của TMĐT ngụ ý điều gì?","Chỉ bán các sản phẩm ""hit"" (bán chạy).",Doanh thu lớn từ vô số các sản phẩm ngách.,Chuỗi cung ứng ngày càng dài ra.,Thời gian giao hàng bị kéo dài.,B,Doanh thu lớn từ vô số các sản phẩm ngách.,"TMĐT cho phép bán một lượng lớn các mặt hàng ít phổ biến (ngách), khi gộp lại chúng tạo ra doanh thu đáng kể, tận dụng lợi thế không giới hạn kệ hàng."
14,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,Sự chuyển dịch từ Web 1.0 sang Web 2.0 đã thúc đẩy sự ra đời của mô hình TMĐT nào?,Thương mại điện tử B2B truyền thống.,Thương mại xã hội (Social Commerce).,Trao đổi dữ liệu điện tử (EDI).,Catalogs tĩnh trên website.,B,Thương mại xã hội (Social Commerce).,"Web 2.0 với các tính năng tương tác, mạng xã hội và nội dung do người dùng tạo (UGC) là nền tảng cho sự ra đời và phát triển của Thương mại xã hội."
15,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,Phân tích Case Study: Tại sao việc Amazon chấp nhận mức lợi nhuận thấp trong nhiều năm là chiến lược hiệu quả?,Để trốn thuế thu nhập doanh nghiệp.,Để chiếm thị phần và đầu tư vào hạ tầng.,Vì họ không biết cách quản lý tài chính.,Để làm hài lòng các nhà đầu tư ngắn hạn.,B,Để chiếm thị phần và đầu tư vào hạ tầng.,"Amazon hy sinh lợi nhuận ngắn hạn để đầu tư vào kho bãi, công nghệ và giảm giá nhằm mở rộng thị phần và xây dựng rào cản gia nhập, tạo tiền đề cho lợi nhuận dài hạn."
16,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Trong bối cảnh ""Digital Disruption"" (Gián đoạn kỹ thuật số), các doanh nghiệp truyền thống cần làm gì để tồn tại?",Giữ nguyên mô hình kinh doanh cũ.,Chuyển đổi số và đổi mới mô hình kinh doanh.,Đóng cửa tất cả các chi nhánh vật lý.,Kiện các công ty công nghệ ra tòa.,B,Chuyển đổi số và đổi mới mô hình kinh doanh.,"Trước sự gián đoạn kỹ thuật số, các doanh nghiệp cần đổi mới (innovate), áp dụng công nghệ và chuyển đổi mô hình (như chuyển sang Click-and-mortar) để thích nghi."
17,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,Một thách thức pháp lý (Legal challenge) lớn đối với TMĐT xuyên biên giới (Cross-border) là gì?,Chi phí thiết kế website.,Sự khác biệt về luật thuế và bảo vệ người dùng.,Tốc độ đường truyền Internet quốc tế.,Ngôn ngữ lập trình website.,B,Sự khác biệt về luật thuế và bảo vệ người dùng.,"Sự phức tạp về quyền tài phán, thuế quan, và luật bảo vệ người tiêu dùng khác nhau giữa các quốc gia là rào cản lớn đối với sự phát triển của TMĐT toàn cầu."
18,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,Tác động của AI (Trí tuệ nhân tạo) đối với sự phát triển của dịch vụ khách hàng trong TMĐT là gì?,Loại bỏ hoàn toàn nhu cầu hỗ trợ.,Tự động hóa qua Chatbot và cá nhân hóa.,Làm tăng chi phí nhân sự trực tổng đài.,Giảm độ chính xác trong xử lý đơn hàng.,B,Tự động hóa qua Chatbot và cá nhân hóa.,"AI cho phép sử dụng Chatbot để hỗ trợ 24/7 và phân tích dữ liệu để cá nhân hóa trải nghiệm, nâng cao hiệu quả dịch vụ khách hàng."
19,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"""Hiệu ứng mạng"" (Network Effect) đóng vai trò gì trong sự thành công của các nền tảng như Facebook hay eBay?",Làm giảm giá trị khi có thêm người dùng.,Gia tăng giá trị khi số lượng người dùng tăng.,Chỉ quan trọng đối với các công ty sản xuất.,Làm chậm tốc độ truy cập website.,B,Gia tăng giá trị khi số lượng người dùng tăng.,Hiệu ứng mạng là hiện tượng giá trị của một sản phẩm/dịch vụ tăng lên đối với mỗi người dùng khi có nhiều người khác cũng sử dụng nó (đạt khối lượng tới hạn).
20,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,Case Study Alibaba: Yếu tố nào giúp Alibaba thành công vượt trội tại thị trường Trung Quốc so với eBay?,Thu phí niêm yết sản phẩm cao hơn.,Hiểu văn hóa địa phương và hỗ trợ thanh toán (Alipay).,Chỉ tập trung vào các thương hiệu xa xỉ.,Không cho phép người dùng giao tiếp với nhau.,B,Hiểu văn hóa địa phương và hỗ trợ thanh toán (Alipay).,"Alibaba thành công nhờ hiểu rõ văn hóa (Guanxi), miễn phí niêm yết ban đầu và giải quyết vấn đề lòng tin/thanh toán qua Alipay, trong khi eBay gặp khó khăn vì áp dụng mô hình Mỹ."
